Order_id,訂單編號,接單日期,客戶,訂單料號,製程,數量,目前單價,疑似來源報價單,報價料號,報價客戶,報價日期,可疑原因,業務確認(正確/錯誤),備註
9547,OO1150908004,2026.09.08,安和,ACC05004-0,全製 (齒研),6,4000,OP1150902005,ACC05004-0,安禾,2026.09.02,別家客戶的報價,,
9452,OO1150902009,2026.09.03,柯泰,TTSD-200-N01,滾到成品不含料車銑,20,1980,OP1150709010,TTSD-200-N01-JG,柯泰,2026.07.09,別的料號（料號字串被當子字串誤命中）,,
9588,OO1150827006,2026.08.27,展驊/豐億,A7379224,代料全製,54,1920,OP1150818007,A7379224,豐億,2026.08.18,別家客戶的報價,,
8978,OO1150724008,2026.07.24,德川,GX170N0022A,代料成品,300,340,OP1150824002,GX170N0022A01,德川,2026.08.24,別的料號（料號字串被當子字串誤命中）,,
8648,OO1150629014,2026.06.29,成大,WHEEL  CUT,外300*內145*寬160L砂輪開槽M1.25*3牙口*PA20*RH,2,3600,OP1150909006,WHEEL  CUT,全宏,2026.09.09,別家客戶的報價,,
8649,OO1150629014,2026.06.29,成大,WHEEL  CUT,外300*內145*寬160L砂輪開槽M1.5*3牙口*PA20*RH,2,3600,OP1150909006,WHEEL  CUT,全宏,2026.09.09,別家客戶的報價,,
8650,OO1150629014,2026.06.29,成大,WHEEL  CUT,外300*內145*寬160L砂輪開槽M1.5*4牙口*PA20*RH,2,3600,OP1150909006,WHEEL  CUT,全宏,2026.09.09,別家客戶的報價,,
8651,OO1150629014,2026.06.29,成大,WHEEL  CUT,外300*內145*寬160L砂輪開槽M2.5*3牙口*PA20*RH,2,3600,OP1150909006,WHEEL  CUT,全宏,2026.09.09,別家客戶的報價,,
8652,OO1150629014,2026.06.29,成大,WHEEL  CUT,外300*內145*寬160L砂輪開槽M2.5*5牙口*PA20*RH,2,3600,OP1150909006,WHEEL  CUT,全宏,2026.09.09,別家客戶的報價,,
8653,OO1150629014,2026.06.29,成大,WHEEL  CUT,外300*內145*寬160L砂輪開槽M2.75*3牙口*PA20*RH,2,3600,OP1150909006,WHEEL  CUT,全宏,2026.09.09,別家客戶的報價,,
8083,OO1150515003,2026.05.15,德士,ACZM410J103DEX007,齒部外研,20,40,OP1120313011,E-ACZM410J103DEX007,德士,2023.03.13,別的料號（料號字串被當子字串誤命中）,,
8094,OO1150515011,2026.05.15,德川,GX170N0022A,代料成品齒研,300,340,OP1150824002,GX170N0022A01,德川,2026.08.24,別的料號（料號字串被當子字串誤命中）,,
7600,OO1150407007,2026.04.08,成大,LKNC110051R27,車床+鑽孔2L-D,600,175,OP1140207002,LKNC110051R27B,成大,2025.02.07,別的料號（料號字串被當子字串誤命中）,,
7601,OO1150407006,2026.04.08,成大,LKNC110051R27,車床+鑽孔2L-D,600,175,OP1140207002,LKNC110051R27B,成大,2025.02.07,別的料號（料號字串被當子字串誤命中）,,
